year,variable,value
1980,brate_1519,53
1981,brate_1519,52.2
1982,brate_1519,52.4
1983,brate_1519,51.4
1984,brate_1519,50.6
1985,brate_1519,51
1986,brate_1519,50.2
1987,brate_1519,50.6
1988,brate_1519,53
1989,brate_1519,57.3
1990,brate_1519,59.9
1991,brate_1519,61.8
1992,brate_1519,60.3
1993,brate_1519,59
1994,brate_1519,58.2
1995,brate_1519,56
1996,brate_1519,53.5
1997,brate_1519,51.3
1998,brate_1519,50.3
1999,brate_1519,48.8
2000,brate_1519,47.7
2001,brate_1519,45
2002,brate_1519,42.6
2003,brate_1519,41.1
2004,brate_1519,40.5
2005,brate_1519,39.7
2006,brate_1519,41.1
2007,brate_1519,41.5
2008,brate_1519,40.2
2009,brate_1519,37.9
2010,brate_1519,34.2
2011,brate_1519,31.3
2012,brate_1519,29.4
2013,brate_1519,26.5
2014,brate_1519,24.2
2015,brate_1519,22.3
2016,brate_1519,20.3
2017,brate_1519,18.8
2018,brate_1519,17.4
2019,brate_1519,16.7
2020,brate_1519,15.3
1980,brate_2024,115.1
1981,brate_2024,112.2
1982,brate_2024,111.6
1983,brate_2024,107.8
1984,brate_2024,106.8
1985,brate_2024,108.3
1986,brate_2024,107.4
1987,brate_2024,107.9
1988,brate_2024,110.2
1989,brate_2024,113.8
1990,brate_2024,116.5
1991,brate_2024,115.3
1992,brate_2024,113.7
1993,brate_2024,111.3
1994,brate_2024,109.2
1995,brate_2024,107.5
1996,brate_2024,107.8
1997,brate_2024,107.3
1998,brate_2024,108.4
1999,brate_2024,107.9
2000,brate_2024,109.7
2001,brate_2024,105.6
2002,brate_2024,103.1
2003,brate_2024,102.3
2004,brate_2024,101.5
2005,brate_2024,101.8
2006,brate_2024,105.5
2007,brate_2024,105.4
2008,brate_2024,101.8
2009,brate_2024,96.2
2010,brate_2024,90
2011,brate_2024,85.3
2012,brate_2024,83.1
2013,brate_2024,80.7
2014,brate_2024,79
2015,brate_2024,76.8
2016,brate_2024,73.8
2017,brate_2024,71
2018,brate_2024,68
2019,brate_2024,66.6
2020,brate_2024,62.8
1980,brate_2529,112.9
1981,brate_2529,111.5
1982,brate_2529,111
1983,brate_2529,108.5
1984,brate_2529,108.7
1985,brate_2529,111
1986,brate_2529,109.8
1987,brate_2529,111.6
1988,brate_2529,114.4
1989,brate_2529,117.6
1990,brate_2529,120.2
1991,brate_2529,117.2
1992,brate_2529,115.7
1993,brate_2529,113.2
1994,brate_2529,111
1995,brate_2529,108.8
1996,brate_2529,108.6
1997,brate_2529,108.3
1998,brate_2529,110.2
1999,brate_2529,111.2
2000,brate_2529,113.5
2001,brate_2529,113.8
2002,brate_2529,114.7
2003,brate_2529,116.7
2004,brate_2529,116.5
2005,brate_2529,116.5
2006,brate_2529,118
2007,brate_2529,118.1
2008,brate_2529,115
2009,brate_2529,111.5
2010,brate_2529,108.3
2011,brate_2529,107.2
2012,brate_2529,106.5
2013,brate_2529,105.5
2014,brate_2529,105.8
2015,brate_2529,104.3
2016,brate_2529,102.1
2017,brate_2529,98
2018,brate_2529,95.3
2019,brate_2529,93.7
2020,brate_2529,90
1980,brate_3034,61.9
1981,brate_3034,61.4
1982,brate_3034,64.1
1983,brate_3034,64.9
1984,brate_3034,67
1985,brate_3034,69.1
1986,brate_3034,70.1
1987,brate_3034,72.1
1988,brate_3034,74.8
1989,brate_3034,77.4
1990,brate_3034,80.8
1991,brate_3034,79.2
1992,brate_3034,79.6
1993,brate_3034,79.9
1994,brate_3034,80.4
1995,brate_3034,81.1
1996,brate_3034,82.1
1997,brate_3034,83
1998,brate_3034,85.2
1999,brate_3034,87.1
2000,brate_3034,91.2
2001,brate_3034,91.8
2002,brate_3034,92.6
2003,brate_3034,95.7
2004,brate_3034,96.2
2005,brate_3034,96.7
2006,brate_3034,98.9
2007,brate_3034,100.6
2008,brate_3034,99.4
2009,brate_3034,97.5
2010,brate_3034,96.5
2011,brate_3034,96.5
2012,brate_3034,97.3
2013,brate_3034,98
2014,brate_3034,100.8
2015,brate_3034,101.5
2016,brate_3034,102.7
2017,brate_3034,100.3
2018,brate_3034,99.7
2019,brate_3034,98.3
2020,brate_3034,94.8
1980,brate_3539,19.8
1981,brate_3539,20
1982,brate_3539,21.2
1983,brate_3539,22
1984,brate_3539,22.9
1985,brate_3539,24
1986,brate_3539,24.4
1987,brate_3539,26.3
1988,brate_3539,28.1
1989,brate_3539,29.9
1990,brate_3539,31.7
1991,brate_3539,31.9
1992,brate_3539,32.3
1993,brate_3539,32.7
1994,brate_3539,33.4
1995,brate_3539,34
1996,brate_3539,34.9
1997,brate_3539,35.7
1998,brate_3539,36.9
1999,brate_3539,37.8
2000,brate_3539,39.7
2001,brate_3539,40.5
2002,brate_3539,41.6
2003,brate_3539,43.9
2004,brate_3539,45.5
2005,brate_3539,46.4
2006,brate_3539,47.5
2007,brate_3539,47.6
2008,brate_3539,46.8
2009,brate_3539,46.1
2010,brate_3539,45.9
2011,brate_3539,47.2
2012,brate_3539,48.3
2013,brate_3539,49.3
2014,brate_3539,51
2015,brate_3539,51.8
2016,brate_3539,52.7
2017,brate_3539,52.3
2018,brate_3539,52.6
2019,brate_3539,52.8
2020,brate_3539,51.7
1980,brate_4044,3.9
1981,brate_4044,3.8
1982,brate_4044,3.9
1983,brate_4044,3.9
1984,brate_4044,3.9
1985,brate_4044,4
1986,brate_4044,4.1
1987,brate_4044,4.4
1988,brate_4044,4.8
1989,brate_4044,5.2
1990,brate_4044,5.5
1991,brate_4044,5.5
1992,brate_4044,5.9
1993,brate_4044,6.1
1994,brate_4044,6.4
1995,brate_4044,6.6
1996,brate_4044,6.8
1997,brate_4044,7.1
1998,brate_4044,7.4
1999,brate_4044,7.4
2000,brate_4044,8
2001,brate_4044,8.1
2002,brate_4044,8.3
2003,brate_4044,8.7
2004,brate_4044,9
2005,brate_4044,9.1
2006,brate_4044,9.4
2007,brate_4044,9.6
2008,brate_4044,9.9
2009,brate_4044,10
2010,brate_4044,10.2
2011,brate_4044,10.3
2012,brate_4044,10.4
2013,brate_4044,10.4
2014,brate_4044,10.6
2015,brate_4044,11
2016,brate_4044,11.4
2017,brate_4044,11.6
2018,brate_4044,11.8
2019,brate_4044,12
2020,brate_4044,11.8
